DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.116304	11	6	1	1	2	4	4	0	15	0	3	-27.7318	1	0.927158
DL	0.116321	11	6	1	1	3	5	4	0	274	15	1	12.2663	0	0
DL	0.116375	11	6	1	1	6	8	2	0	52	0	1	-28.6922	1	1
DL	0.116375	11	6	1	4	3	5	4	0	274	15	2	12.3179	1	1
DL	0.116464	11	6	1	1	11	3	1	0	1394	20	0	18.7467	0	0.0167294
DL	0.116482	11	6	1	1	12	7	4	0	107	0	3	-8.86634	1	1
DL	0.116482	11	6	1	3	10	4	1	0	335	6	0	7.33683	0	0
DL	0.116482	11	6	1	7	6	8	2	0	52	0	2	-28.3522	1	1
DL	0.116482	11	6	1	7	6	5	4	0	440	13	0	12.3422	1	0.997115
DL	0.116554	11	6	2	1	2	4	4	0	15	0	3	-27.4365	1	1
DL	0.116571	11	6	2	1	3	5	4	0	274	15	1	12.2469	0	0
DL	0.116589	11	6	2	1	4	7	2	0	33	0	3	-33.3504	1	1
DL	0.116625	11	6	2	1	6	8	2	0	52	0	1	-26.46	1	1
DL	0.116625	11	6	2	4	3	5	4	0	274	15	2	13.9245	1	1
UL	0.116679	11	6	2	5	5	7	4	0	43	0	0	3.34333 	0	0
DL	0.116696	11	6	2	3	8	4	1	0	360	8	1	7.39891	0	0
DL	0.116732	11	6	2	7	6	8	2	0	52	0	2	-23.0096	1	1
DL	0.116732	11	6	2	7	6	5	4	0	551	15	1	14.6416	0	0
DL	0.116839	11	6	3	1	4	5	4	0	292	13	1	11.9975	0	0
DL	0.116875	11	6	3	1	6	8	3	0	52	0	1	-11.2723	1	1
DL	0.116893	11	6	3	1	7	7	3	0	61	0	1	-4.27033	1	1
DL	0.116911	11	6	3	1	8	4	1	0	360	8	2	6.78276	1	1
DL	0.116911	11	6	3	5	4	5	4	0	292	13	2	12.7937	1	0.855
DL	0.116946	11	6	3	9	2	4	4	0	15	0	3	-0.669208	0	0
DL	0.116982	11	6	3	7	6	8	3	0	52	0	2	-6.51223	0	0.791149
UL	0.116982	11	6	3	9	4	5	3	0	33	0	1	0.276754 	0	0
DL	0.117125	11	7	0	1	6	8	2	0	52	0	3	-26.5519	1	1
DL	0.117125	11	7	0	1	6	5	4	0	269	8	0	11.9432	0	0
DL	0.117143	11	7	0	1	7	7	3	0	61	0	2	-4.19685	1	0.791149
DL	0.117232	11	7	0	1	12	4	1	0	403	6	0	6.7786	0	0.0002
DL	0.117232	11	7	0	7	6	8	2	0	52	0	3	-26.1937	1	1
DL	0.117232	11	7	0	7	6	5	6	0	200	6	0	8.55711	0	0
DL	0.117375	11	7	1	1	6	8	2	0	52	0	3	-28.4029	1	1
DL	0.117375	11	7	1	1	6	5	4	0	440	13	1	14.1999	0	0
DL	0.117482	11	7	1	1	12	3	1	0	1272	18	0	19.1596	0	0
DL	0.117482	11	7	1	1	12	4	1	0	403	6	0	3.59306	1	1
DL	0.117482	11	7	1	7	6	5	4	0	440	13	2	15.6629	0	0
DL	0.117536	11	7	2	1	1	3	1	0	103	18	0	19.1772	0	0
DL	0.117625	11	7	2	1	6	8	3	0	52	0	3	-11.4637	1	1
DL	0.117625	11	7	2	1	6	5	4	0	269	8	0	14.36	0	0
DL	0.117732	11	7	2	1	12	4	1	0	403	6	0	6.80295	0	0
