DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.120232	12	0	0	7	6	7	4	0	84	2	0	2.63878	0	0
DL	0.120232	12	0	0	7	6	3	4	0	269	8	0	9.3717	0	0
DL	0.120375	12	0	1	1	6	7	2	0	269	8	1	11.4727	0	0
DL	0.120375	12	0	1	1	6	3	2	0	440	13	0	11.7232	0	0
DL	0.120482	12	0	1	7	6	7	2	0	269	8	2	11.4867	0	0
DL	0.120482	12	0	1	7	6	3	4	0	269	8	0	9.29652	0	0
DL	0.120625	12	0	2	1	6	3	2	0	269	8	0	11.7149	0	0
DL	0.120732	12	0	2	1	12	7	4	0	172	2	0	2.78964	0	0
DL	0.120732	12	0	2	7	6	3	4	0	269	8	0	9.41818	0	0
DL	0.120875	12	0	3	1	6	7	4	0	84	2	0	0.666974	1	0.982954
DL	0.120875	12	0	3	1	6	3	2	0	440	13	0	8.10935	1	1
DL	0.120964	12	0	3	1	11	2	2	0	1394	20	0	22.9864	0	0.0167294
DL	0.120982	12	0	3	7	6	7	2	0	440	13	0	11.2419	0	0.021
DL	0.120982	12	0	3	7	6	3	4	0	269	8	0	9.30147	0	0
DL	0.121125	12	1	0	1	6	7	4	0	84	2	0	2.51227	0	0.0062
DL	0.121125	12	1	0	1	6	3	2	0	440	13	0	11.6686	0	0
DL	0.121232	12	1	0	7	6	7	2	0	440	13	0	11.1285	0	0.021
DL	0.121232	12	1	0	7	6	3	4	0	269	8	0	9.38686	0	0
DL	0.121375	12	1	1	1	6	7	4	0	84	2	0	2.60558	0	0
DL	0.121375	12	1	1	1	6	3	2	0	440	13	0	11.5594	0	0
DL	0.121482	12	1	1	7	6	7	2	0	440	13	0	11.1745	0	0.021
DL	0.121482	12	1	1	7	6	3	4	0	269	8	0	9.4753	0	0
DL	0.121625	12	1	2	1	6	7	4	0	84	2	1	2.56153	0	0
DL	0.121625	12	1	2	1	6	3	2	0	440	13	1	11.6141	0	0
DL	0.121732	12	1	2	7	6	7	4	0	84	2	2	2.51804	0	0
DL	0.121732	12	1	2	7	6	3	2	0	440	13	2	11.5305	0	0
DL	0.121875	12	1	3	1	6	7	4	0	84	2	0	0.649193	1	0.982954
DL	0.121875	12	1	3	1	6	3	2	0	440	13	0	8.04004	1	1
DL	0.121964	12	1	3	1	11	2	2	0	1394	20	0	23.2427	1	0.0167294
DL	0.121982	12	1	3	7	6	7	2	0	440	13	0	11.1368	0	0.021
DL	0.121982	12	1	3	7	6	3	4	0	269	8	0	9.42782	0	0
DL	0.122125	12	2	0	1	6	7	4	0	84	2	0	2.52486	0	0
DL	0.122125	12	2	0	1	6	3	2	0	440	13	0	11.4103	0	0
DL	0.122232	12	2	0	7	6	7	2	0	440	13	0	11.1712	0	0.021
DL	0.122232	12	2	0	7	6	3	4	0	269	8	0	9.49053	0	0
DL	0.122375	12	2	1	1	6	7	4	0	84	2	0	2.45834	0	0.0062
DL	0.122375	12	2	1	1	6	3	2	0	440	13	0	11.3173	0	0
DL	0.122482	12	2	1	7	6	7	2	0	440	13	0	11.0031	0	0.021
DL	0.122482	12	2	1	7	6	3	4	0	269	8	0	9.32421	0	0
