% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0102143	1	0	0	2.79987e-13	590.265	0
0.0102143	1	0	0	1.19729e-13	252.41	0
0.0112143	1	0	0	1.22333e-13	257.9	0
0.0112143	1	0	0	2.86785e-13	604.597	0
0.0112143	1	0	0	4.89616e-13	1032.2	0
0.0112143	1	0	0	1.18487e-13	249.793	0
0.0112143	1	0	0	1.19034e-13	250.946	0
0.0112143	1	0	0	1.59187e-12	3355.95	0
0.0112143	1	0	0	2.94294e-13	620.426	0
0.0112143	1	0	0	2.3046e-13	485.852	0
0.0112143	1	0	0	1.54794e-13	326.334	0
0.0112143	1	0	0	1.83081e-13	385.97	0
0.0112143	1	0	0	3.81585e-13	804.452	0
0.0112143	1	0	0	1.33603e-13	281.66	0
0.0112143	1	0	0	2.79985e-13	590.26	0
0.0112143	1	0	0	1.19728e-13	252.408	0
0.0122143	1	0	0	1.22333e-13	257.902	0
0.0122143	1	0	0	2.86786e-13	604.598	0
0.0122143	1	0	0	4.89621e-13	1032.21	0
0.0122143	1	0	0	1.18487e-13	249.792	0
0.0122143	1	0	0	1.19034e-13	250.946	0
0.0122143	1	0	0	1.59183e-12	3355.88	0
0.0122143	1	0	0	2.94295e-13	620.429	0
0.0122143	1	0	0	2.30459e-13	485.851	0
0.0122143	1	0	0	1.54793e-13	326.332	0
0.0122143	1	0	0	1.8308e-13	385.966	0
0.0122143	1	0	0	3.81582e-13	804.445	0
0.0122143	1	0	0	1.33602e-13	281.659	0
0.0122143	1	0	0	2.79982e-13	590.255	0
0.0122143	1	0	0	1.19727e-13	252.407	0
0.0132143	1	0	0	1.22334e-13	257.903	0
0.0132143	1	0	0	2.86787e-13	604.6	0
0.0132143	1	0	0	4.89627e-13	1032.22	0
0.0132143	1	0	0	1.18486e-13	249.791	0
0.0132143	1	0	0	1.19034e-13	250.946	0
0.0132143	1	0	0	1.5918e-12	3355.81	0
0.0132143	1	0	0	2.94297e-13	620.432	0
0.0132143	1	0	0	2.30459e-13	485.85	0
0.0132143	1	0	0	1.54792e-13	326.33	0
0.0132143	1	0	0	1.83078e-13	385.963	0
0.0132143	1	0	0	3.81579e-13	804.438	0
0.0132143	1	0	0	1.33602e-13	281.657	0
0.0132143	1	0	0	2.7998e-13	590.25	0
0.0132143	1	0	0	1.19726e-13	252.405	0
0.0142143	1	0	0	1.22335e-13	257.905	0
0.0142143	1	0	0	2.86787e-13	604.601	0
0.0142143	1	0	0	4.89632e-13	1032.23	0
0.0142143	1	0	0	1.18486e-13	249.79	0
0.0142143	1	0	0	1.19034e-13	250.946	0
0.0142143	1	0	0	1.59177e-12	3355.74	0
0.0142143	1	0	0	2.94298e-13	620.435	0
0.0142143	1	0	0	2.30458e-13	485.849	0
0.0142143	1	0	0	1.54791e-13	326.328	0
0.0142143	1	0	0	1.83077e-13	385.959	0
0.0142143	1	0	0	3.81575e-13	804.432	0
0.0142143	1	0	0	1.33601e-13	281.656	0
0.0142143	1	0	0	2.79978e-13	590.245	0
0.0142143	1	0	0	1.19725e-13	252.403	0
0.0152143	1	0	0	1.22336e-13	257.906	0
0.0152143	1	0	0	2.86788e-13	604.602	0
0.0152143	1	0	0	4.89637e-13	1032.24	0
0.0152143	1	0	0	1.18485e-13	249.788	0
0.0152143	1	0	0	1.19034e-13	250.946	0
0.0152143	1	0	0	1.59174e-12	3355.67	0
0.0152143	1	0	0	2.943e-13	620.438	0
0.0152143	1	0	0	2.30458e-13	485.848	0
0.0152143	1	0	0	1.5479e-13	326.325	0
0.0152143	1	0	0	1.83075e-13	385.956	0
0.0152143	1	0	0	3.81572e-13	804.425	0
0.0152143	1	0	0	1.33601e-13	281.655	0
0.0152143	1	0	0	2.79975e-13	590.239	0
0.0152143	1	0	0	1.19725e-13	252.401	0
0.0162143	1	0	0	1.22336e-13	257.908	0
0.0162143	1	0	0	2.86789e-13	604.604	0
0.0162143	1	0	0	4.89642e-13	1032.26	0
0.0162143	1	0	0	1.18484e-13	249.787	0
0.0162143	1	0	0	1.19034e-13	250.946	0
0.0162143	1	0	0	1.5917e-12	3355.6	0
0.0162143	1	0	0	2.94301e-13	620.441	0
0.0162143	1	0	0	2.30457e-13	485.846	0
0.0162143	1	0	0	1.54789e-13	326.323	0
0.0162143	1	0	0	1.83073e-13	385.952	0
0.0162143	1	0	0	3.81569e-13	804.418	0
0.0162143	1	0	0	1.336e-13	281.654	0
0.0162143	1	0	0	2.79973e-13	590.234	0
0.0162143	1	0	0	1.19724e-13	252.4	0
0.0172143	1	0	0	1.22337e-13	257.909	0
0.0172143	1	0	0	2.86789e-13	604.605	0
0.0172143	1	0	0	4.89647e-13	1032.27	0
0.0172143	1	0	0	1.18484e-13	249.786	0
0.0172143	1	0	0	1.19034e-13	250.946	0
0.0172143	1	0	0	1.59167e-12	3355.53	0
0.0172143	1	0	0	2.94302e-13	620.444	0
0.0172143	1	0	0	2.30457e-13	485.845	0
0.0172143	1	0	0	1.54788e-13	326.321	0
0.0172143	1	0	0	1.83072e-13	385.949	0
0.0172143	1	0	0	3.81566e-13	804.411	0
0.0172143	1	0	0	1.33599e-13	281.652	0
0.0172143	1	0	0	2.7997e-13	590.229	0
0.0172143	1	0	0	1.19723e-13	252.398	0
0.0182143	1	0	0	1.22338e-13	257.91	0
0.0182143	1	0	0	2.8679e-13	604.607	0
0.0182143	1	0	0	4.89652e-13	1032.28	0
0.0182143	1	0	0	1.18483e-13	249.784	0
0.0182143	1	0	0	1.19034e-13	250.946	0
0.0182143	1	0	0	1.59164e-12	3355.47	0
0.0182143	1	0	0	2.94304e-13	620.447	0
0.0182143	1	0	0	2.30456e-13	485.844	0
0.0182143	1	0	0	1.54787e-13	326.319	0
0.0182143	1	0	0	1.8307e-13	385.945	0
0.0182143	1	0	0	3.81563e-13	804.405	0
0.0182143	1	0	0	1.33599e-13	281.651	0
0.0182143	1	0	0	2.79968e-13	590.224	0
0.0182143	1	0	0	1.19722e-13	252.396	0
0.0192143	1	0	0	1.22338e-13	257.912	0
0.0192143	1	0	0	2.86791e-13	604.608	0
0.0192143	1	0	0	4.89657e-13	1032.29	0
0.0192143	1	0	0	1.18482e-13	249.783	0
0.0192143	1	0	0	1.19034e-13	250.946	0
0.0192143	1	0	0	1.5916e-12	3355.4	0
0.0192143	1	0	0	2.94305e-13	620.45	0
