DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.117857	11	7	3	1	5	5	5	0	43	0	0	-7.79618 	1	1
DL	0.117982	11	7	3	1	12	8	4	0	542	8	1	12	0	0
UL	0.118107	11	8	0	1	5	5	5	0	43	0	1	-7.883 	1	1
DL	0.118232	11	8	0	1	12	8	4	0	680	11	1	11.9629	0	0
DL	0.118482	11	8	1	1	12	8	4	0	542	8	1	12.0365	0	0
UL	0.118607	11	8	2	1	5	5	5	0	43	0	1	-7.8985 	1	1
DL	0.118732	11	8	2	1	12	7	3	0	107	0	3	-17.2596	1	1
DL	0.118732	11	8	2	1	12	8	4	0	680	11	0	11.1806	0	0
UL	0.118857	11	8	3	1	5	5	5	0	43	0	2	-7.85366 	1	1
DL	0.118982	11	8	3	1	12	8	4	0	680	11	0	12.0492	0	0
DL	0.119232	11	9	0	1	12	8	4	0	680	11	0	12.0023	0	0
UL	0.119357	11	9	1	1	5	5	5	0	43	0	2	-7.74096 	1	1
DL	0.119482	11	9	1	1	12	8	4	0	680	11	0	12.1163	0	0
UL	0.119607	11	9	2	1	5	5	5	0	43	0	3	-7.63146 	1	0.998077
DL	0.119732	11	9	2	1	12	8	4	0	680	11	0	12.191	0	0
DL	0.119982	11	9	3	1	12	8	4	0	680	11	0	12.2078	0	0
UL	0.120107	12	0	0	1	5	5	5	0	43	0	3	-7.70139 	1	0.998077
DL	0.120232	12	0	0	1	12	8	4	0	884	13	0	12.2562	0	0.0189
DL	0.120482	12	0	1	1	12	8	4	0	884	13	0	12.2481	0	0.0189
DL	0.120732	12	0	2	1	12	8	4	0	884	13	0	12.3638	0	0.0001
DL	0.120982	12	0	3	1	12	8	4	0	884	13	0	12.4207	0	0.0001
DL	0.121232	12	1	0	1	12	8	4	0	884	13	0	12.3794	0	0.0001
DL	0.121482	12	1	1	1	12	8	4	0	884	13	0	12.4648	0	0.0001
DL	0.121732	12	1	2	1	12	8	4	0	884	13	0	12.5958	0	0.0001
DL	0.121857	12	1	3	1	5	8	4	0	366	13	0	12.3689	0	0.0024
DL	0.125982	12	5	3	1	12	8	4	0	884	13	0	12.8063	0	0
DL	0.126143	12	6	0	1	7	8	4	0	514	13	0	12.8328	0	0
UL	0.127036	12	7	0	1	1	8	4	0	36	7	0	9.49053 	0	0.0573
DL	0.127464	12	7	1	1	11	8	4	0	810	13	0	13.0056	0	0
UL	0.127482	12	7	1	12	1	8	4	0	36	7	0	9.524 	0	0.0573
DL	0.127661	12	7	2	1	8	8	4	0	588	13	0	13.1933	0	0
DL	0.128482	12	8	1	1	12	8	4	0	884	13	0	13.4342	0	0
DL	0.128643	12	8	2	1	7	8	4	0	514	13	0	13.4525	0	0
DL	0.128982	12	8	3	1	12	8	4	0	884	13	0	13.3836	0	0
DL	0.129143	12	9	0	1	7	8	4	0	514	13	0	13.4631	0	0
DL	0.131482	13	1	1	1	12	8	4	0	884	13	0	13.7079	0	0
DL	0.131643	13	1	2	1	7	8	4	0	514	13	0	13.8092	0	0
DL	0.131982	13	1	3	1	12	8	4	0	884	13	0	13.8241	0	0
DL	0.132143	13	2	0	1	7	8	4	0	514	13	0	13.8473	0	0
DL	0.132482	13	2	1	1	12	8	4	0	884	13	0	13.8143	0	0
DL	0.132643	13	2	2	1	7	8	4	0	514	13	0	13.8385	0	0
DL	0.132982	13	2	3	1	12	8	4	0	884	13	0	13.9538	0	0
DL	0.133143	13	3	0	1	7	8	4	0	514	13	0	13.8923	0	0
DL	0.133982	13	3	3	1	12	8	4	0	1105	15	0	13.9724	0	0.00818319
DL	0.134071	13	4	0	1	3	8	4	0	274	15	0	13.9071	0	0.259536
DL	0.134482	13	4	1	1	12	8	4	0	1105	15	0	13.9429	0	0.00818319
DL	0.134571	13	4	2	1	3	8	4	0	274	15	0	13.7782	0	0.259536
DL	0.135482	13	5	1	1	12	8	4	0	884	13	0	13.7178	0	0
DL	0.135643	13	5	2	1	7	8	4	0	514	13	0	13.825	0	0
DL	0.135982	13	5	3	1	12	8	4	0	884	13	0	13.8728	0	0
DL	0.136143	13	6	0	1	7	8	4	0	514	13	0	13.9692	0	0
DL	0.137482	13	7	1	1	12	8	4	0	1105	15	0	14.2564	0	0.00818319
DL	0.137571	13	7	2	1	3	8	4	0	274	15	0	14.414	0	0.025
UL	0.138536	13	8	2	1	1	8	4	0	36	7	0	10.3521 	0	0.0007
DL	0.138982	13	8	3	1	12	8	4	0	1105	15	0	14.5889	0	0
DL	0.139071	13	9	0	1	3	8	4	0	274	15	0	14.651	0	0.025
DL	0.139482	13	9	1	1	12	5	2	0	107	0	0	15.2909	0	0
DL	0.139732	13	9	2	1	12	5	2	0	107	0	0	15.238	0	0
DL	0.139982	13	9	3	1	12	5	2	0	107	0	0	15.2405	0	0
DL	0.140125	14	0	0	1	6	5	2	0	551	15	0	15.2756	0	0.0041
DL	0.140232	14	0	0	7	6	5	6	0	52	0	0	8.47667	0	0
DL	0.140375	14	0	1	1	6	5	2	0	551	15	0	15.3811	0	0.0041
DL	0.140482	14	0	1	1	12	8	4	0	1105	15	0	14.4843	0	0
DL	0.140482	14	0	1	7	6	5	6	0	52	0	0	8.54635	0	0
DL	0.140571	14	0	2	1	3	8	4	0	274	15	0	14.4022	0	0.025
DL	0.140589	14	0	2	1	4	5	2	0	366	15	0	15.3964	0	0.0457
DL	0.140661	14	0	2	5	4	5	6	0	33	0	0	8.54699	0	0
