DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.117732	11	7	2	1	12	6	4	0	107	0	2	-23.325	1	1
DL	0.117732	11	7	2	1	12	3	2	0	884	13	0	11.2026	0	0
DL	0.117732	11	7	2	7	6	5	4	0	200	6	0	8.9777	0	0
DL	0.117875	11	7	3	1	6	5	2	0	200	6	0	2.54752	1	1
DL	0.117982	11	7	3	1	12	4	3	0	107	0	1	-5.8588	1	1
DL	0.117982	11	7	3	1	12	6	4	0	107	0	2	-29.2694	1	1
DL	0.117982	11	7	3	1	12	3	2	0	1105	15	0	10.9766	1	1
DL	0.117982	11	7	3	7	6	5	4	0	200	6	0	9.00459	0	0
UL	0.118107	11	8	0	1	5	4	3	0	43	0	0	8.21232 	0	0
DL	0.118125	11	8	0	1	6	5	2	0	52	0	0	15.4102	0	0
DL	0.118232	11	8	0	1	12	3	2	0	274	4	0	11.4719	0	0
DL	0.118232	11	8	0	7	6	5	4	0	200	6	0	9.17139	0	0
DL	0.118375	11	8	1	1	6	5	2	0	52	0	0	2.69106	0	0.0014
DL	0.118482	11	8	1	1	12	6	4	0	107	0	3	-29.335	1	1
DL	0.118482	11	8	1	1	12	4	3	0	403	6	1	-5.82561	1	1
DL	0.118482	11	8	1	1	12	3	2	0	884	13	1	11.1027	0	0.0001
DL	0.118482	11	8	1	7	6	5	4	0	200	6	0	9.37293	0	0
UL	0.118607	11	8	2	1	5	4	3	0	43	0	0	8.18639 	0	0
DL	0.118625	11	8	2	1	6	5	2	0	52	0	1	3.46255	0	0.0014
DL	0.118732	11	8	2	1	12	6	4	0	107	0	3	-23.667	1	1
DL	0.118732	11	8	2	1	12	3	2	0	884	13	0	11.464	0	0
DL	0.118732	11	8	2	7	6	5	2	0	52	0	2	3.40063	0	0.0014
DL	0.118875	11	8	3	1	6	5	2	0	551	15	0	3.11462	1	1
DL	0.118982	11	8	3	1	12	4	3	0	107	0	2	-6.16085	1	0.999039
DL	0.118982	11	8	3	1	12	6	4	0	107	0	3	-29.6063	1	1
DL	0.118982	11	8	3	1	12	3	2	0	1105	15	1	11.1006	0	0
DL	0.118982	11	8	3	7	6	5	4	0	269	8	0	9.43672	0	0.0599
DL	0.119125	11	9	0	1	6	5	2	0	52	0	0	15.4813	0	0
DL	0.119232	11	9	0	1	12	3	2	0	884	13	0	11.5345	0	0
DL	0.119232	11	9	0	7	6	5	4	0	269	8	0	9.48491	0	0.0599
DL	0.119375	11	9	1	1	6	5	2	0	52	0	0	12.1014	0	0
DL	0.119482	11	9	1	1	12	4	3	0	403	6	2	0.684427	0	0
DL	0.119482	11	9	1	1	12	3	2	0	884	13	0	11.1657	0	0.0001
DL	0.119482	11	9	1	7	6	5	4	0	269	8	0	9.46506	0	0.0599
DL	0.119625	11	9	2	1	6	5	2	0	52	0	0	15.6698	0	0
DL	0.119732	11	9	2	1	12	3	2	0	884	13	0	11.5626	0	0
DL	0.119732	11	9	2	7	6	5	4	0	269	8	0	9.45379	0	0.0599
DL	0.119875	11	9	3	1	6	5	2	0	551	15	0	12.2668	1	1
DL	0.119982	11	9	3	1	12	4	3	0	107	0	3	0.465347	0	0
DL	0.119982	11	9	3	1	12	3	2	0	884	13	0	11.2652	0	0
DL	0.119982	11	9	3	7	6	5	4	0	269	8	0	9.45299	0	0.0599
DL	0.120125	12	0	0	1	6	5	2	0	269	8	0	15.7944	0	0
DL	0.120232	12	0	0	1	12	3	2	0	884	13	0	11.593	0	0
DL	0.120232	12	0	0	7	6	5	4	0	269	8	0	9.48862	0	0.0599
DL	0.120375	12	0	1	1	6	5	2	0	551	15	0	15.8131	0	0.0041
DL	0.120482	12	0	1	1	12	3	2	0	884	13	0	11.744	0	0
DL	0.120482	12	0	1	7	6	5	4	0	269	8	0	9.65058	0	0.0599
DL	0.120625	12	0	2	1	6	5	2	0	551	15	1	15.6741	0	0
DL	0.120732	12	0	2	1	12	3	2	0	884	13	0	11.6789	0	0
DL	0.120732	12	0	2	7	6	5	2	0	551	15	2	15.7389	0	0.0041
DL	0.120875	12	0	3	1	6	5	2	0	551	15	0	15.6836	0	0.0041
DL	0.120982	12	0	3	1	12	3	2	0	884	13	0	11.5672	0	0
DL	0.120982	12	0	3	7	6	5	4	0	269	8	0	9.93256	0	0.0599
DL	0.121125	12	1	0	1	6	5	2	0	551	15	0	15.7595	0	0.0041
DL	0.121232	12	1	0	7	6	5	4	0	269	8	0	9.93447	0	0.0599
DL	0.121375	12	1	1	1	6	5	2	0	551	15	0	15.7092	0	0.0041
DL	0.121482	12	1	1	7	6	5	4	0	269	8	0	9.89604	0	0.0599
DL	0.121625	12	1	2	1	6	5	2	0	551	15	0	15.5887	0	0.0041
DL	0.121732	12	1	2	7	6	5	4	0	269	8	0	9.77708	0	0.0599
DL	0.121875	12	1	3	1	6	5	2	0	551	15	0	15.3556	0	0.0041
DL	0.121982	12	1	3	1	12	3	2	0	884	13	0	11.4886	0	0
DL	0.121982	12	1	3	7	6	5	4	0	269	8	0	9.81009	0	0.0599
DL	0.122125	12	2	0	1	6	5	2	0	551	15	0	15.2756	0	0.0041
DL	0.122143	12	2	0	1	7	3	2	0	514	13	0	11.4048	0	0
DL	0.122232	12	2	0	7	6	5	4	0	269	8	0	9.85044	0	0.0599
DL	0.122375	12	2	1	1	6	5	2	0	551	15	0	15.1411	0	0.0041
DL	0.122482	12	2	1	1	12	3	2	0	884	13	0	11.4582	0	0
DL	0.122482	12	2	1	7	6	5	4	0	269	8	0	9.94007	0	0.0599
DL	0.122625	12	2	2	1	6	5	2	0	551	15	0	15.0264	0	0.0604
DL	0.122643	12	2	2	1	7	3	2	0	514	13	0	11.4587	0	0
